Place,Address,IsClosed,Fee,MinFee,MaxFee,Start,End,Latitude,Longitude,Expected Duration,Historical,Nature,Religious,Art,Activities,Entertainment,Culture,Image,,,,,Description
Panagsama Beach,"Moalboal, Cebu",0,,0,100,0:00:00,23:59:59,9.946423854,123.3685542,1 hour,0,1,0,0,1,0,0,"/location_images/Panagsama_Beach/Panagsama_Beach.jpg,/location_images/Panagsama_Beach/Panagsama_Beach_SzSHlq3.jpg",,,,,"Panagsama Beach, also known as ""Panglao Beach,"" is a popular coastal destination located in Panglao Island, just off the coast of Bohol, Philippines. This beach is renowned for its stunning natural beauty, clear turquoise waters, and vibrant underwater ecosystem, making it a favorite spot for beachgoers, divers, and snorkelers.

The beach is characterized by its powdery white sand, which provides a perfect backdrop for relaxation and sunbathing. Visitors can soak up the tropical sun, swim in the calm and crystal-clear waters, or engage in various water sports activities such as snorkeling and kayaking. Panagsama Beach is known for its accessibility to the colorful and diverse marine life, making it a haven for underwater enthusiasts."
White Beach Moalboal,"Moalboal, Cebu",0,,10,20,0:00:00,23:59:59,9.972218514,123.3720414,3 hours >,0,1,0,0,1,0,0,"/location_images/White_Beach_Moalboal/White_Beach_Moalboal.jpg,/location_images/White_Beach_Moalboal/White_Beach_Moalboal_HbzXZ4R.jpg",,,,,"White Beach Moalboal is a beautiful and pristine stretch of coastline located in Moalboal, Cebu, Philippines. It is renowned for its powdery white sand, crystal-clear turquoise waters, and vibrant marine life, making it a popular destination for beachgoers, divers, and snorkelers.

The beach is an idyllic spot for sunbathing, swimming, and simply relaxing by the shore. Visitors can unwind on the soft sands while enjoying the stunning views of the sea and the lush surrounding greenery. The calm and clear waters of White Beach are perfect for snorkeling, and the nearby coral reefs teem with colorful fish and other marine species."
Pescador Island,Pescador Island,0,100,,,0:00:00,23:59:59,9.923230709,123.3434683,2 hours,0,1,0,0,1,0,0,"/location_images/Pescador_Island/Pescador_Island.jpg,/location_images/Pescador_Island/Pescador_Island_pMVxvdV.jpg,/location_images/Pescador_Island/Pescador_Island_2UCMrhz.jpg",,,,,"Pescador Island is a renowned diving and snorkeling destination located near Moalboal in Cebu, Philippines. This small and uninhabited island is a haven for underwater enthusiasts and nature lovers, known for its exceptional marine biodiversity and stunning underwater landscapes.

One of the main attractions at Pescador Island is its vibrant coral reefs, which are teeming with a wide variety of marine life. Divers and snorkelers flock to the island to explore its crystal-clear waters and encounter a wealth of underwater species, including colorful coral formations, tropical fish, sea turtles, and even larger creatures like barracudas and sardines."
Tingko Beach,"Alcoy, Cebu",0,,10,1000,0:00:00,23:59:59,9.681884417,123.5030218,2-3 hours,0,1,0,0,1,0,0,"/location_images/Tingko_Beach/Tingko_Beach.jpg,/location_images/Tingko_Beach/Tingko_Beach_VZ7v302.jpg",,,,,"Tingko Beach, located in Alcoy, Cebu, is a popular and picturesque beach destination known for its stunning white sand, crystal-clear waters, and relaxed atmosphere. It is often considered one of the most beautiful beaches on Cebu Island, making it a favorite spot for beachgoers and tourists looking to unwind in a tropical paradise.

Tingko Beach boasts a wide and inviting shoreline, where visitors can bask in the sun, build sandcastles, or take leisurely walks along the powdery white sands. The waters are calm and ideal for swimming, making it a safe and enjoyable beach experience for families and travelers of all ages."
10000 Roses Cafe,"Day-as Barangay Rd, Cordova, Cebu",0,20,,,14:00:00,22:00:00,10.25667471,123.9323656,-,0,1,0,0,0,1,0,/location_images/10000_Roses_Cafe/10000_Roses_Cafe.jpg,,,,,"The 10,000 Roses Cafe is a captivating and Instagram-worthy destination located in Cordova, Cebu, Philippines. This unique café is famous for its enchanting field of illuminated artificial roses, creating a mesmerizing and dreamlike ambiance, especially in the evening.

The centerpiece of the café is a vast field filled with thousands of white artificial roses, each adorned with LED lights. As day turns to night, the LED lights come alive, illuminating the roses and creating a stunning display that resembles a field of glowing stars. This makes the 10,000 Roses Cafe a popular spot for romantic evenings, photography enthusiasts, and couples seeking a picturesque setting."
Teofilo Camomot Shrine,"Carcar City, Cebu",0,0,,,8:00:00,16:30:00,10.10321198,123.6581503,-,0,0,1,0,0,0,0,"/location_images/Teofilo_Camomot_Shrine/Teofilo_Camomot_Shrine.jpg,/location_images/Teofilo_Camomot_Shrine/Teofilo_Camomot_Shrine_FJVOyxW.jpg",,,,,"The Teofilo Camomot Shrine is a significant religious site located in the town of Carcar in Cebu, Philippines. It is dedicated to the memory of Archbishop Teofilo Camomot, a highly esteemed and beloved figure in the Catholic Church, known for his acts of charity and holiness.

The shrine is a place of pilgrimage and devotion for Catholics who come to pay their respects to Archbishop Camomot. It houses his tomb and relics, making it a place of reverence and reflection. Visitors can offer prayers, light candles, and seek spiritual solace at the shrine."
Theotokos Shrine,"Natalio B. Bacalso S National Hwy, Carcar City, Cebu",0,0,,,6:00:00,16:00:00,10.11622865,123.6738466,-,0,0,1,0,0,0,0,/location_images/Theotokos_Shrine/Theotokos_Shrine.jpg,,,,,"The Theotokos Shrine, also known as the Our Lady of the Rule Parish and Shrine of the Theotokos, is a significant religious site located in Lapu-Lapu City, Mactan Island, Cebu, Philippines. It is dedicated to the veneration of the Blessed Virgin Mary, particularly under her title as the ""Our Lady of the Rule.""

The shrine is known for its striking and modern architecture, featuring a towering statue of the Virgin Mary holding the Child Jesus. The image is perched atop a massive pedestal overlooking the sea, creating a picturesque and serene setting. Pilgrims and devotees often visit the shrine to offer prayers, light candles, and seek the intercession of the Blessed Virgin Mary."
Sky Experience Adventure,"Osmeña Blvd, Cebu City, 6000 Cebu",1,250,,,14:00:00,0:00:00,10.30786628,123.8941179,-,0,0,0,0,1,1,0,"/location_images/Sky_Experience_Adventure/Sky_Experience_Adventure.jpg,/location_images/Sky_Experience_Adventure/Sky_Experience_Adventure_uOmuM97.jpg",,,,,"Sky Experience Adventure, also known as ""Crown Regency Sky Experience Adventure,"" is an exhilarating and adventurous attraction located in Cebu City, Philippines. Situated atop the Crown Regency Hotel and Towers, this unique attraction offers visitors an array of thrilling experiences and stunning panoramic views of the city.

One of the main attractions at Sky Experience Adventure is the Skywalk Extreme, which allows brave participants to walk on a transparent glass pathway encircling the outer edge of the hotel's 37th floor. As you take each step, you'll feel like you're walking on air, and the view of the city below is nothing short of breathtaking."
Nalusuan Island,"Cordova Reef, Cordova 6000 Philippines",0,400,,,6:00:00,20:00:00,10.19074508,124.0003623,1-2 hours,0,1,0,0,1,0,0,"/location_images/Nalusuan_Island/Nalusuan_Island.jpg,/location_images/Nalusuan_Island/Nalusuan_Island_UAkEpoZ.jpg",,,,,"Nalusuan Island is a beautiful tropical paradise located in the Olango Reef, near Mactan Island in Cebu, Philippines. This idyllic island is a popular destination for tourists, divers, and snorkelers due to its stunning coral reefs, crystal-clear waters, and abundant marine life.

The island is known for its pristine white sandy beaches, making it an ideal spot for sunbathing, beachcombing, and swimming. Visitors can relax on the shores, take leisurely walks, and enjoy the serene ambiance of this small, tranquil island."
Hilutongan Island (Gilutongan Island),"Cordova Reef, Cordova 6000 Philippines",0,,100,300,0:00:00,23:59:59,10.20675372,123.9900088,1 hour,0,1,0,0,1,0,0,/location_images/Hilutongan_Island_(Gilutongan_Island)/Hilutongan_Island_Gilutongan_Island.jpg,,,,,"Hilutungan Island, also known as Gilutongan Island, is a stunning tropical island situated in the waters of the Olango Reef, near Mactan Island in Cebu, Philippines. This picturesque island is renowned for its clear turquoise waters, vibrant coral reefs, and diverse marine life, making it a popular destination for snorkeling, diving, and beach-related activities.

The island offers visitors the opportunity to explore its vibrant underwater world. Snorkelers and divers can immerse themselves in the crystal-clear waters and discover the colorful coral gardens that surround the island. These reefs are home to a rich variety of marine species, including schools of fish, sea turtles, and an array of underwater creatures."
Caohagan Island,"Lapu-Lapu City, Cebu",0,,200,300,0:00:00,23:59:59,10.20388762,124.0177052,1 hour,0,1,0,0,1,0,0,"/location_images/Caohagan_Island/Caohagan_Island.jpg,/location_images/Caohagan_Island/Caohagan_Island_NtXALg1.jpg",,,,,"Caohagan Island is a charming and tranquil tropical island located near Mactan Island in Cebu, Philippines. It is one of the smaller islands in the Olango Reef, known for its serene ambiance, pristine beaches, and crystal-clear waters.

The island offers a secluded and peaceful escape for visitors who want to unwind in a natural paradise. Its white sandy beaches are perfect for sunbathing, beachcombing, and leisurely walks along the shore. Caohagan Island's waters are shallow and calm, making it an excellent spot for swimming and snorkeling."
Taboan Public Market,"Cebu City, 6000 Cebu",0,0,,,4:00:00,19:00:00,10.29556248,123.8914812,-,0,0,0,0,1,0,1,"/location_images/Taboan_Public_Market/Taboan_Public_Market.jpg,/location_images/Taboan_Public_Market/Taboan_Public_Market_8JGc1wS.jpg",,,,,"Taboan Public Market is a bustling and vibrant marketplace located in Cebu City, Philippines. This market is renowned for being the go-to destination for anyone seeking dried fish and other preserved seafood products, making it a must-visit for food enthusiasts and tourists exploring Cebu's culinary scene.

The market is a sensory delight, with rows of stalls and vendors offering an extensive variety of dried seafood, including dried fish, squid, danggit (rabbitfish), dried shrimp, and more. These products are often seasoned and sun-dried to perfection, creating unique and flavorful delicacies that are beloved by locals and visitors alike."
Colon Street,"Cebu City, 6000 Cebu",0,0,,,0:00:00,23:59:59,10.29674146,123.8990271,-,0,0,0,0,1,0,1,/location_images/Colon_Street/Colon_Street.jpg,,,,,"Colon Street is a historic and iconic street located in downtown Cebu City, Philippines. It is one of the oldest streets in the country and is celebrated for its rich history, vibrant atmosphere, and its role as a significant commercial and cultural hub.

Colon Street was named after Christopher Columbus (Cristobal Colón in Spanish) and was established in the early 16th century during the Spanish colonial era. It has since evolved into a bustling thoroughfare that spans approximately a kilometer in length."
Plaza Independencia,"CSCR Tunnel, Cebu City, 6000 Cebu",0,30,,,8:00:00,19:00:00,10.29318993,123.9051288,2 hours,1,0,0,0,0,0,1,/location_images/Plaza_Independencia/Plaza_Independencia.jpg,,,,,"Plaza Independencia is a historic and picturesque public square located in Cebu City, Philippines. This prominent plaza holds great significance in the country's history and serves as a popular gathering place for locals and tourists alike.

One of the notable features of Plaza Independencia is the presence of Fort San Pedro, a Spanish-era fort that dates back to the 16th century. The fort, which is located at one end of the plaza, served as a defensive structure during the Spanish colonial period. Today, it stands as a well-preserved historical site and a museum where visitors can learn about Cebu's colonial history."
Olango Islands,"Lapu-Lapu City, Cebu",0,,20,100,0:00:00,23:59:59,10.24950083,124.0376597,2-3 hours,0,1,0,0,1,0,0,"/location_images/Olango_Islands/Olango_Islands.jpg,/location_images/Olango_Islands/Olango_Islands_ctMpDVG.jpg,/location_images/Olango_Islands/Olango_Islands_bknP4Rj.jpg",,,,,"The Olango Islands is a group of islands located in the Visayan Sea, just off the eastern coast of Mactan Island in Cebu, Philippines. This stunning archipelago is known for its natural beauty, rich biodiversity, and as a critical habitat for migratory birds, making it a favorite destination for nature lovers and birdwatchers.

The Olango Islands are composed of several islands and islets, with Olango Island being the largest and most visited. The islands are surrounded by azure waters, pristine beaches, and vibrant coral reefs, making them ideal for swimming, snorkeling, and diving. Visitors can explore the underwater world and encounter a variety of marine life, including colorful fish and coral formations."
San Vicente Marine Sanctuary,"Lapu-Lapu City, Cebu",0,30,,,7:00:00,17:00:00,10.24859008,124.0228568,-,0,1,0,0,1,0,0,"/location_images/San_Vicente_Marine_Sanctuary/San_Vicente_Marine_Sanctuary.jpg,/location_images/San_Vicente_Marine_Sanctuary/San_Vicente_Marine_Sanctuary.png",,,,,"The San Vicente Marine Sanctuary is a conservation area located in Olango Island, near Mactan Island in Cebu, Philippines. This sanctuary is a haven for marine life and serves as an important protected area for preserving the underwater ecosystem and promoting sustainable tourism and fishing practices.

The primary goal of the San Vicente Marine Sanctuary is to protect and rehabilitate the coral reefs and marine biodiversity in the area. Over the years, the sanctuary has become a thriving ecosystem where coral reefs, fish species, and other marine creatures flourish. Snorkelers and divers visiting the sanctuary can witness the vibrant coral formations and an array of fish species, including colorful reef fish, damselfish, and various invertebrates."
Orchids Gallery,"National Hwy, Moalboal, Cebu",0,,20,70,8:00:00,18:00:00,9.941121798,123.3979552,1-2 hours,0,1,0,0,0,0,0,/location_images/Orchids_Gallery/Orchids_Gallery.jpg,,,,,"Orchids Gallery is a delightful and colorful attraction located in the highland barangay of Busay in Cebu City, Philippines. As the name suggests, it is a specialized garden and gallery dedicated to showcasing the beauty of orchid plants, known for their stunning and intricate blooms.

Visitors to Orchids Gallery can immerse themselves in a lush and tropical paradise filled with a wide variety of orchid species and hybrids. The garden features meticulously landscaped paths and displays that highlight the diversity of these exquisite flowers. Orchids come in an array of colors, shapes, and sizes, making this a visually captivating and aromatic experience."
SeaQuest Dive Center,"Panagsama Rd, Moalboal, 6032 Cebu",0,100,,,8:00:00,20:00:00,9.950267727,123.3657441,2-3 hours,0,1,0,0,1,0,0,"/location_images/SeaQuest_Dive_Center/SeaQuest_Dive_Center.jpg,/location_images/SeaQuest_Dive_Center/SeaQuest_Dive_Center_VxbvigU.jpg",,,,,"The SeaQuest Dive Center is a well-established diving facility located in Mactan Island, Cebu, Philippines. This dive center is renowned for its professional services, experienced dive instructors, and access to some of the best dive sites in the region.

SeaQuest Dive Center caters to divers of all levels, from beginners seeking certification to experienced divers looking for thrilling underwater adventures. The center offers a range of diving courses, including introductory courses for novices and advanced courses for those looking to enhance their skills. With safety as a top priority, certified instructors ensure that divers receive proper training and guidance."
Cambais Falls,"Alegría, Cebu",0,50,,,7:00:00,17:00:00,9.748458702,123.389276,1-2 hours,0,1,0,0,0,0,0,"/location_images/Cambais_Falls/Cambais_Falls.jpg,/location_images/Cambais_Falls/Cambais_Falls_m4pFBeh.jpg",,,,,"Cambais Falls, also known as Kabang Falls or Budlaan Falls, is a hidden gem located in the mountainous barangay of Budlaan in Cebu City, Philippines. This pristine waterfall is a natural oasis tucked away in a lush and verdant forest, making it a perfect destination for nature lovers and adventure seekers.

To reach Cambais Falls, visitors typically embark on a short trek through the scenic and serene forest trails. The journey to the falls is an adventure in itself, with opportunities to admire the natural beauty of the surrounding area, including the diverse flora and fauna."
Green Mosque,"Creekside Street, Cebu City, 6000 Cebu",0,0,,,0:00:00,23:59:59,10.30389291,123.9009976,-,0,0,1,0,0,0,1,/location_images/Green_Mosque/Green_Mosque.jpg,,,,,"The Green Mosque, officially known as the Maryam-Ul Iman Masjid, is a beautiful Islamic religious structure located in the town of Cotabato City, Philippines. This mosque is one of the most prominent and recognizable landmarks in the region, known for its striking green color and stunning architectural design.

The Green Mosque's most distinctive feature is its vibrant green exterior, which sets it apart from many other mosques in the country. The mosque's green color symbolizes the Islamic faith and is often associated with the tranquility and spirituality of the religion. The building's architecture combines modern and traditional Islamic design elements, creating a visually captivating and culturally significant structure."
Inambakan Falls,"Ginatilan, Cebu",0,50,,,0:00:00,23:59:59,9.568627615,123.3386586,1-3 hours,0,1,0,0,0,0,0,"/location_images/Inambakan_Falls/Inambakan_Falls.jpg,/location_images/Inambakan_Falls/Inambakan_Falls_mv3wXMI.jpg",,,,,"Inambakan Falls is a stunning natural waterfall located in Ginatilan, a municipality in the southwestern part of Cebu, Philippines. This majestic waterfall is a hidden gem nestled in the lush and mountainous terrain of the region, making it a popular destination for nature enthusiasts and adventure seekers.

To reach Inambakan Falls, visitors typically embark on a trek through the picturesque and serene forest. The trail to the falls offers an opportunity to immerse yourself in the natural beauty of Cebu's interior, with dense vegetation, towering trees, and the soothing sounds of flowing water along the way."
Alegria Heritage Park,"Alegría, Cebu",0,0,,,0:00:00,23:59:59,9.728419118,123.3393343,< 1 hour,0,0,0,0,0,1,1,/location_images/Alegria_Heritage_Park/Alegria_Heritage_Park.jpg,,,,,"Alegria Heritage Park, also known as ""Parke sa Alegria,"" is a charming and historically significant park located in the town of Alegria in the province of Cebu, Philippines. This park serves as a cultural and recreational space that celebrates the town's heritage and provides a serene setting for both locals and visitors.

One of the key attractions in Alegria Heritage Park is the beautifully landscaped gardens and green spaces. The park features manicured lawns, vibrant flower beds, and shaded areas with benches, creating a tranquil environment where people can relax and unwind. It's a lovely place for a leisurely stroll or a family picnic while enjoying the natural beauty of the surroundings."
Malapascua Light House,"Daanbantayan, Cebu",0,0,,,0:00:00,23:59:59,11.34320081,124.1112622,1-2 hours,1,0,0,0,0,0,1,/location_images/Malapascua_Light_House/Malapascua_Light_House.jpeg,,,,,"The Malapascua Lighthouse is an iconic landmark located on Malapascua Island, which is situated in the Visayan Sea, to the north of Cebu Island in the Philippines. This picturesque lighthouse is not only a functional navigational aid but also a popular destination for tourists seeking panoramic views and a glimpse into the island's maritime heritage.

The lighthouse stands on a scenic hill overlooking the crystal-clear waters of the Visayan Sea and the surrounding landscapes of Malapascua Island. It offers breathtaking vistas of the coastline, neighboring islands, and the vast expanse of the sea. "
Cuartel Ruins,"Oslob, Cebu",0,0,,,0:00:00,23:59:59,9.520215868,123.4341474,30 minutes,1,0,0,0,0,0,0,"/location_images/Cuartel_Ruins/Cuartel_Ruins.jpg,/location_images/Cuartel_Ruins/Cuartel_Ruins_Gp9vkrN.jpg,/location_images/Cuartel_Ruins/Cuartel_Ruins_s9OgJK9.jpg",,,,,"The Cuartel Ruins, located in the town of Oslob in Cebu, Philippines, are historic remnants of a once grand Spanish colonial structure. These ruins are a testament to the town's rich history and its ties to the Spanish colonial period in the Philippines.

The Cuartel Ruins were originally constructed as barracks during the late 19th century when the Philippines was under Spanish rule. The purpose of these barracks was to house Spanish soldiers and guards. The architecture of the Cuartel Ruins reflects the Spanish influence, featuring stone walls and arches reminiscent of colonial architecture."
Capila de Sta. Ana,"Toledo City, Cebu",0,,50,200,9:00:00,16:00:00,10.3702742,123.6275732,-,1,0,1,0,0,0,0,"/location_images/Capila_de_Sta._Ana/Capila_de_Sta._Ana.JPG,/location_images/Capila_de_Sta._Ana/Capila_de_Sta._Ana_b00YU2h.jpg",,,,,"Capilla de Santa Ana, also known as the Santa Ana Chapel, is a historic religious structure located in the city of Mandaue in Cebu, Philippines. This chapel is a beloved and significant landmark, not only for its religious importance but also for its architectural beauty and cultural significance.

The chapel is dedicated to Saint Anne, the mother of the Virgin Mary and the grandmother of Jesus. It serves as a place of worship and reflection for the Catholic community in Mandaue City. Capilla de Santa Ana is renowned for its traditional Spanish colonial architecture, which reflects the influence of the Spanish era in the Philippines."
Archdiocesan Museum of Cebu,"P. Burgos St, Cebu City, 6000 Cebu",0,100,,,9:00:00,17:00:00,10.29613547,123.9035637,1-2 hours,1,0,1,0,0,0,1,/location_images/Archdiocesan_Museum_of_Cebu/Archdiocesan_Museum_of_Cebu.jpg,,,,,"The Archdiocesan Museum of Cebu, also known as the Museo Sugbo, is a cultural institution and museum located in Cebu City, Philippines. This museum is dedicated to preserving and showcasing the rich history, art, and cultural heritage of the province of Cebu and the Visayas region.

The Museo Sugbo is housed in a historic building that was once the Cebu Provincial Detention and Rehabilitation Center. The structure itself is of historical significance and adds to the museum's character. The museum's collections are spread across several galleries and exhibition spaces, offering a comprehensive look at Cebu's past and cultural diversity."
OAD Tabor Hill,"Purok 3 Talamban Rd, Cebu City, 6000 Cebu",0,0,,,0:00:00,23:59:59,10.37912544,123.913167,-,0,0,1,0,0,0,0,/location_images/OAD_Tabor_Hill/OAD_Tabor_Hill.jpg,,,,,"OAD Tabor Hill, also known as the Our Lady of the Abandoned Del Tabor Parish and Retreat Center, is a religious and retreat center located in the mountainous barangay of Tabunan in Cebu City, Philippines. This serene and spiritual destination is known for its breathtaking views, religious significance, and the opportunity for quiet reflection and retreat.

One of the standout features of OAD Tabor Hill is its hilltop location, which offers panoramic vistas of the surrounding mountain ranges and lush greenery. "