ItineraryID,Spot1,Spot2,Spot3,Spot4,Spot5,Historical,Nature,Religious,Art,Activities,Entertainment,Culture,,,Context,link to itinerary
66,Oslob Whale Shark Watching,Tumalog Falls,,,,0,2,0,0,2,1,0,,,"Day 2 itinerary of link, excluding Dumaguete City",https://herlculis.wordpress.com/2016/10/11/travel-guide-cebu-dumaguete-siquijor/
67,Magellan's Cross,Basilica Minore Del Santo Nino,Fort San Pedro,Cebu Taoist Temple,,4,0,2,1,0,0,2,,,Day 1 itinerary of link,https://www.blog.book2wheel.com/2023/05/08/7-day-travel-itinerary-for-cebu-city-2023/
68,Oslob Whale Shark Watching,Kawasan Falls,,,,0,2,0,0,2,1,0,,,Day 3 itinerary of link,https://www.blog.book2wheel.com/2023/05/08/7-day-travel-itinerary-for-cebu-city-2023/
69,Fort San Pedro,Magellan's Cross,Temple of Leah,Taboan Public Market,Tops Lookout,3,1,0,1,1,1,3,,,,https://www.kkday.com/en/blog/36280/asia-philippines-24-hours-cebu-itinerary-things-to-do
70,Oslob Whale Shark Watching,Kawasan Falls,,,,0,2,0,0,2,1,0,,,Day 1 itinerary of link,https://sgp1.digitaloceanspaces.com/tz-mag-ph/wp-content/uploads/2018/03/070703032020/Klook-Cebu-Itinerary.pdf
71,Sirao Garden,Jumalon Butterfly Sanctuary And Art Gallery,Cebu Taoist Temple,Terrazas de Flores Botanical Garden,Tops Lookout,1,3,1,2,0,1,1,,,Day 3 itinerary of link,https://sgp1.digitaloceanspaces.com/tz-mag-ph/wp-content/uploads/2018/03/070703032020/Klook-Cebu-Itinerary.pdf
72,Cebu Metropolitan Cathedral,Tops Lookout,,,,1,1,1,0,0,1,1,,,Day 1 itinerary of link,https://dreamsinheels.com/cebu-itinerary-what-to-do-in-cebu-philippines-asia/
73,Cebu Taoist Temple,Jumalon Butterfly Sanctuary And Art Gallery,,,,1,1,1,2,0,0,0,,,Day 2 itinerary of link,https://dreamsinheels.com/cebu-itinerary-what-to-do-in-cebu-philippines-asia/
74,Oslob Whale Shark Watching,Tumalog Falls,Colon Street,,,0,2,0,0,3,1,1,,,Day 3 itinerary of link,https://dreamsinheels.com/cebu-itinerary-what-to-do-in-cebu-philippines-asia/
75,Basilica Minore Del Santo Nino,Fort San Pedro,Yap-San Diego Ancestral House,,,3,0,1,0,0,0,1,,,Day 4 itinerary of link,https://dreamsinheels.com/cebu-itinerary-what-to-do-in-cebu-philippines-asia/
76,Fort San Pedro,Colon Street,Taboan Public Market,Sky Experience Adventure,,1,0,0,0,3,1,2,,,Day 1 itinerary of link,https://www.halalzilla.com/cebu-pacific-5-day-cebu-itinerary-halal-food-mosques/86089
77,Green Mosque,Terrazas de Flores Botanical Garden,Tops Lookout,,,0,2,1,0,0,1,1,,,"Day 2 itinerary of link, Robinsons not Included",https://www.halalzilla.com/cebu-pacific-5-day-cebu-itinerary-halal-food-mosques/86089
78,Osmena Peak,Kawasan Falls,,,,0,2,0,0,2,0,0,,,Day 3 itinerary of link,https://www.halalzilla.com/cebu-pacific-5-day-cebu-itinerary-halal-food-mosques/86089
79,White Beach Moalboal,Panagsama Beach,Pescador Island,,,0,3,0,0,3,1,0,,,Day 4 itinerary of link,https://www.halalzilla.com/cebu-pacific-5-day-cebu-itinerary-halal-food-mosques/86089
80,Oslob Whale Shark Watching,Sumilon Island Sandbar,Tumalog Falls,Osmena Peak,,0,4,0,0,4,2,0,,,,https://www.taraletsanywhere.com/oslob-day-tour/?expand_article=1
81,Oslob Whale Shark Watching,Tumalog Falls,Sumilon Island Sandbar,Pescador Island,,0,4,0,0,4,2,0,,,,https://www.viator.com/tours/Cebu/Whale-Shark-and-Tumalog-Falls-and-Sumilon-Sandbar-and-Pescador-Island-with-Sardines/d5172-41718P19
82,Caohagan Island,Hilutongan Island (Gilutongan Island),Nalusuan Island,,,0,3,0,0,3,0,0,,,,https://www.viator.com/tours/Cebu/Mactan-Cebu-Island-Hopping-with-Lunch-Gilutungan-Caohagan-San-Vicente/d5172-41718P20
83,Basilica Minore Del Santo Nino,Magellan's Cross,Fort San Pedro,Heritage of Cebu Monument,Yap-San Diego Ancestral House,5,0,1,0,0,0,2,,,First 5 places out of 11 ,https://www.viator.com/tours/Cebu/Private-Cebu-and-Lapu-Lapu-City-Tour-with-Uphill-Spots-and-Lunch-at-House-of-Lechon/d5172-41718P22
84,Cebu Taoist Temple,Alegre Guitar Factory,Mactan Shrine,Temple of Leah,Tops Lookout,4,1,1,2,0,1,3,,,Places 6 to 10 of link,https://www.viator.com/tours/Cebu/Private-Cebu-and-Lapu-Lapu-City-Tour-with-Uphill-Spots-and-Lunch-at-House-of-Lechon/d5172-41718P22
85,Oslob Whale Shark Watching,Kawasan Falls,,,,0,2,0,0,2,1,0,,,,https://www.viator.com/tours/Cebu/Oslob-Whale-Shark-Swimming-and-Kawasan-Falls-Canyoneering/d5172-101045P3
86,Oslob Whale Shark Watching,Tumalog Falls,Sumilon Island Sandbar,Kawasan Falls,,0,4,0,0,4,2,0,,,,https://www.viator.com/tours/Cebu/Whale-Shark-Encouter-and-Sumilon-Sandbar-with-Kawasan-Falls/d5172-41718P9
87,Oslob Whale Shark Watching,Tumalog Falls,Sumilon Island Sandbar,,,0,3,0,0,3,2,0,,,,https://www.viator.com/tours/Cebu/Whale-Shark-Watching-and-Sumilon-Sandbar-Tour-Package/d5172-41718P11
88,Kawasan Falls,Pescador Island,,,,0,2,0,0,2,0,0,,,,https://www.viator.com/tours/Cebu/Kawasan-Falls-with-Moalboal-Island-Hopping/d5172-19592P6
89,Cebu Taoist Temple,Basilica Minore Del Santo Nino,Magellan's Cross,Fort San Pedro,Cebu Provincial Museum,5,0,2,1,0,0,3,,,Places 1-5 out of 8 of itinerary,https://www.islandtrektours.com/twin-city-tour-cebu-and-mactan/
90,Kawasan Falls,White Beach Moalboal,,,,0,2,0,0,2,0,0,,,Day 1 Itinerary of link,https://www.lakwatsero.com/info/itinerary-info/cebu-itinerary-three-day-adventures-in-the-south/
91,Cambais Falls,Inambakan Falls,Sumilon Island Sandbar,,,0,3,0,0,2,1,0,,,Day 2 Itinerary of link,https://www.lakwatsero.com/info/itinerary-info/cebu-itinerary-three-day-adventures-in-the-south/
92,Tumalog Falls,Osmena Peak,,,,0,2,0,0,2,0,0,,,Day 3 Itinerary of link,https://www.lakwatsero.com/info/itinerary-info/cebu-itinerary-three-day-adventures-in-the-south/
93,Pescador Island,,,,,0,1,0,0,1,0,0,,,Day 1 Itinerary of link,https://www.angelmacaraig.com/2016/11/4d3n-south-cebu-itinerary.html
94,Alegria Heritage Park,Oslob Whale Shark Watching,Sumilon Island Sandbar,Tumalog Falls,Osmena Peak,0,4,0,0,4,3,1,,,Day 2 Itinerary of link,https://www.angelmacaraig.com/2016/11/4d3n-south-cebu-itinerary.html
95,Canyoneering Cebu Badian Adventure,Kawasan Falls,,,,0,1,0,0,2,1,0,,,Day 3 Itinerary of link,https://www.angelmacaraig.com/2016/11/4d3n-south-cebu-itinerary.html
96,Simala Shrine (Monastery of the Holy Eucharist),,,,,1,0,1,0,0,0,1,,,Day 4 Itinerary of link,https://www.angelmacaraig.com/2016/11/4d3n-south-cebu-itinerary.html
97,Basilica Minore Del Santo Nino,Magellan's Cross,Fort San Pedro,Heritage of Cebu Monument,Yap-San Diego Ancestral House,5,0,1,0,0,0,2,,,First 5 places out of 11 of itinerary,https://www.tripadvisor.com/AttractionProductReview-g298460-d19279537-Private_Cebu_Lapu_Lapu_City_Tour_with_Uphill_Spots_Lunch_at_House_of_Lechon-Cebu_C.html
98,Cebu Taoist Temple,Alegre Guitar Factory,Mactan Shrine,Temple of Leah,Tops Lookout,4,1,1,2,0,1,3,,,Places 6-10 of itinerary,https://www.tripadvisor.com/AttractionProductReview-g298460-d19279537-Private_Cebu_Lapu_Lapu_City_Tour_with_Uphill_Spots_Lunch_at_House_of_Lechon-Cebu_C.html
99,Oslob Whale Shark Watching,Tumalog Falls,Sumilon Island Sandbar,Pescador Island,,0,4,0,0,4,2,0,,,Excluding Sardine Run,https://www.tripadvisor.com/AttractionProductReview-g298460-d18480259-Whale_Shark_Tumalog_Falls_Sumilon_Sandbar_Pescador_Island_with_Sardines-Cebu_City_.html
100,Oslob Whale Shark Watching,Tumalog Falls,Sumilon Island Sandbar,Kawasan Falls,,0,4,0,0,4,2,0,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d17460574-Whale_Shark_Encounter_and_Sumilon_Sandbar_with_Kawasan_Falls-Cebu_City_Cebu_Island.html
101,Caohagan Island,Nalusuan Island Marine Sanctuary,,,,0,2,0,0,2,0,0,,,,Nalusuan Island
102,Pescador Island,Canyoneering Cebu Badian Adventure,Kawasan Falls,,,0,2,0,0,3,1,0,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d17716642-Pescador_Island_with_Sardines_Turtle_and_Canyoneering_in_Kawasan_Falls-Cebu_City_C.html
103,Oslob Whale Shark Watching,Tumalog Falls,Canyoneering Cebu Badian Adventure,Kawasan Falls,,0,4,0,0,3,2,0,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d17517007-Whale_Shark_Snorkeling_w_Tumalog_Falls_Canyoneering_in_Kawasan-Cebu_City_Cebu_Isla.html
104,Heritage of Cebu Monument,Yap-San Diego Ancestral House,Basilica Minore Del Santo Nino,Magellan's Cross,,4,0,1,0,1,0,3,,,Places 1-5 out of 6 of itinerary,https://www.tripadvisor.com/AttractionProductReview-g294261-d25245114-Cebu_City_Historical_Street_and_Food_Tour-Cebu_Island_Visayas.html
105,Oslob Whale Shark Watching,Tumalog Falls,Sumilon Island Sandbar,Kawasan Falls,,0,4,0,0,4,2,0,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d19844027-Whale_Shark_Watching_with_Sumilon_Sandbar_and_Kawasan_Falls_Tour-Cebu_City_Cebu_Is.html
106,Oslob Whale Shark Watching,Tumalog Falls,Pescador Island,,,0,3,0,0,3,1,0,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d16861879-Whale_Shark_Tumalog_Falls_Pescador_Island_Sardine_Run_Turtle_in_One_Day-Cebu_City_.html
107,Oslob Whale Shark Watching,Tumalog Falls,Sumilon Island Sandbar,Canyoneering Cebu Badian Adventure,Kawasan Falls,0,4,0,0,5,3,0,,,,https://www.tripadvisor.com/AttractionProductReview-g294261-d19441669-Whale_Shark_Encounter_Sumilon_Sandbar_Canyoneering_in_Kawasan_Falls-Cebu_Island_Vi.html
108,Canyoneering Cebu Badian Adventure,Kawasan Falls,,,,0,1,0,0,2,1,0,,,,https://www.tripadvisor.com/AttractionProductReview-g1811784-d14097650-Private_Canyoneering_in_Kawasan_Falls_Tour_Package_with_Transportation-Talisay_Ci.html
109,Oslob Whale Shark Watching,Tumalog Falls,Sumilon Island Sandbar,,,0,3,0,0,3,2,0,,,,https://www.tripadvisor.com/AttractionProductReview-g294261-d17515942-Whale_Shark_Watching_and_Sumilon_Sandbar_Private_Tour_Package-Cebu_Island_Visayas.html
110,Cebu Taoist Temple,Temple of Leah,Sirao Garden,Mountain View Nature's Park,,2,1,1,2,1,1,1,,,,https://www.tripadvisor.com/AttractionProductReview-g294261-d25564573-Cebu_Highlands_Tour_Cebu_Taoist_Temple_of_Leah_and_Sirao_Garden-Cebu_Island_Visaya.html
111,Oslob Whale Shark Watching,Tumalog Falls,Kawasan Falls,,,0,3,0,0,3,1,0,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d15341934-Whale_Shark_Watching_Tumalog_Falls_Kawasan_Falls-Cebu_City_Cebu_Island_Visayas.html
112,Cebu Taoist Temple,Heritage of Cebu Monument,Yap-San Diego Ancestral House,Magellan's Cross,Basilica Minore Del Santo Nino,5,0,2,1,0,0,2,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d16656751-Cebu_City_Tour_Private-Cebu_City_Cebu_Island_Visayas.html
113,Basilica Minore Del Santo Nino,Magellan's Cross,Alegre Guitar Factory,Mactan Shrine,Cebu Taoist Temple,5,0,1,2,0,0,4,,,Places 1 to 5 out of 10,https://www.tripadvisor.com/AttractionProductReview-g298460-d18912177-Cebu_City_Historical_Tour-Cebu_City_Cebu_Island_Visayas.html
114,Heritage of Cebu Monument,Sirao Garden,Fort San Pedro,Temple of Leah,Tops Lookout,3,2,0,1,0,1,1,,,Places 6 to 10 out of 10,https://www.tripadvisor.com/AttractionProductReview-g298460-d18912177-Cebu_City_Historical_Tour-Cebu_City_Cebu_Island_Visayas.html
115,Oslob Whale Shark Watching,Kawasan Falls,,,,0,2,0,0,2,1,0,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d19440212-Oslob_Whaleshark_Kawasan_Falls_Tour-Cebu_City_Cebu_Island_Visayas.html
116,Kawasan Falls,Pescador Island,,,,0,2,0,0,2,0,0,,,Excluding Sardine Run,https://www.tripadvisor.com/AttractionProductReview-g294261-d12650978-Full_Day_Moalboal_Islands_and_Kawasan_Falls_Small_Group_Tour_from_Cebu-Cebu_Island.html
117,Oslob Whale Shark Watching,Cuartel Ruins,Tumalog Falls,Sumilon Island Sandbar,,1,3,0,0,3,2,0,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d25333965-Oslob_Whaleshark_and_Tumalog_Falls_Joiners-Cebu_City_Cebu_Island_Visayas.html
118,Oslob Whale Shark Watching,Kawasan Falls,,,,0,2,0,0,2,1,0,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d12990387-Oslob_Whaleshark_and_Kawasan_Falls_Tour-Cebu_City_Cebu_Island_Visayas.html
119,Oslob Whale Shark Watching,Kawasan Falls,,,,0,2,0,0,2,1,0,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d15534234-Oslob_Whale_Shark_Swimming_and_Kawasan_Falls_Canyoneering-Cebu_City_Cebu_Island_Vi.html
120,Fort San Pedro,Basilica Minore Del Santo Nino,Casa Gorordo Museum,Cebu Taoist Temple,,4,0,2,1,0,0,2,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d12470040-Private_5_Hour_Cebu_City_Tour_with_Lunch-Cebu_City_Cebu_Island_Visayas.html
121,Oslob Whale Shark Watching,Tumalog Falls,Sumilon Island Sandbar,,,0,3,0,0,3,2,0,,,,https://www.tripadvisor.com/AttractionProductReview-g294261-d12990388-Oslob_Whaleshark_with_Sumilon_Island-Cebu_Island_Visayas.html
122,Basilica Minore Del Santo Nino,Chapel of San Pedro Calungsod,Simala Shrine (Monastery of the Holy Eucharist),Capila de Sta. Ana,,3,0,4,0,0,0,2,,,,https://www.tripadvisor.com/AttractionProductReview-g298460-d21070033-Pilgrimage_Tour_in_Cebu-Cebu_City_Cebu_Island_Visayas.html
123,Basilica Minore Del Santo Nino,Cebu Metropolitan Cathedral,Archdiocesan Museum of Cebu,OAD Tabor Hill,,3,0,4,0,0,0,3,,,,https://www.tripadvisor.com/AttractionProductReview-g294261-d20298190-A_Half_day_Guided_Pilgrimage_Tour_in_Cebu_CIty-Cebu_Island_Visayas.html
